number_symbols,personalized_theme,sound_toggle,victory_tracker,destiny_numbers,mystery_numbers,random_fun,unexpected_game,number_based_quiz,fast_paced_luck_game
93,dark,true,31,469,447,trivia,puzzle,15,roulette
39,colorful,true,87,451,137,jokes,escape room,9,slot machine
15,light,false,68,94,622,jokes,escape room,12,slot machine
43,dark,false,83,358,743,trivia,puzzle,9,bingo
28,dark,false,42,277,523,trivia,escape room,5,roulette
32,light,false,54,733,115,riddles,puzzle,19,slot machine
3,colorful,false,83,945,975,trivia,maze,17,slot machine
87,colorful,false,75,872,755,riddles,maze,6,slot machine
30,colorful,false,34,323,166,trivia,puzzle,9,bingo
2,dark,true,45,941,613,jokes,puzzle,9,bingo
54,light,false,88,649,976,riddles,puzzle,8,bingo
22,light,false,49,883,191,trivia,puzzle,13,slot machine
96,dark,false,29,68,714,riddles,puzzle,4,slot machine
2,colorful,true,88,880,580,trivia,puzzle,14,bingo
9,colorful,false,60,97,706,riddles,puzzle,5,bingo
63,light,true,15,592,30,trivia,escape room,15,slot machine
15,light,true,75,165,689,jokes,maze,4,bingo
13,colorful,true,68,718,575,jokes,maze,20,roulette
53,colorful,false,83,688,621,riddles,escape room,10,roulette
2,light,false,37,886,556,riddles,puzzle,15,bingo
37,colorful,false,89,632,280,jokes,puzzle,17,roulette
9,colorful,false,35,103,112,riddles,maze,11,roulette
40,colorful,true,42,331,987,riddles,maze,20,roulette
91,colorful,false,54,715,323,riddles,escape room,19,slot machine
78,colorful,false,95,315,559,trivia,maze,19,roulette
90,dark,false,36,59,614,jokes,puzzle,11,slot machine
62,light,true,18,59,938,riddles,puzzle,2,bingo
94,dark,false,78,453,173,riddles,puzzle,12,roulette
41,dark,true,97,849,769,jokes,puzzle,16,bingo
18,dark,true,75,821,52,trivia,puzzle,11,slot machine
69,light,true,28,86,528,jokes,puzzle,19,slot machine
23,dark,false,17,590,345,jokes,puzzle,6,bingo
18,light,true,68,838,68,jokes,escape room,13,bingo
48,light,true,9,888,260,jokes,escape room,4,slot machine
80,light,true,57,436,643,riddles,maze,6,roulette
47,colorful,false,46,144,995,trivia,puzzle,1,roulette
97,light,true,1,868,375,jokes,puzzle,16,roulette
41,light,true,85,295,777,riddles,maze,8,slot machine
22,dark,true,62,780,965,jokes,puzzle,19,roulette
92,dark,false,17,704,519,trivia,escape room,9,bingo
50,dark,true,45,805,28,jokes,puzzle,18,slot machine
20,dark,false,15,912,931,riddles,escape room,2,roulette
67,light,false,16,629,757,jokes,maze,6,bingo
60,light,true,73,287,816,trivia,maze,14,roulette
15,dark,false,64,668,887,jokes,escape room,15,bingo
70,light,false,49,729,473,riddles,escape room,1,roulette
97,light,true,53,238,317,jokes,escape room,12,bingo
92,light,false,15,194,541,trivia,puzzle,2,slot machine
58,colorful,true,27,2,946,riddles,maze,10,roulette
60,colorful,false,53,779,645,riddles,puzzle,10,roulette
48,colorful,true,28,979,49,trivia,maze,20,bingo
36,light,false,18,373,349,riddles,maze,12,slot machine
65,dark,false,37,483,162,jokes,puzzle,14,roulette
28,dark,true,81,430,927,riddles,puzzle,15,roulette
36,dark,false,18,153,24,riddles,escape room,12,roulette
65,dark,true,99,960,85,trivia,maze,8,slot machine
85,colorful,true,10,346,335,riddles,maze,12,bingo
94,dark,true,51,697,167,trivia,puzzle,3,roulette
14,dark,true,13,311,763,riddles,maze,3,roulette
58,colorful,false,93,728,221,jokes,escape room,6,roulette
70,colorful,true,88,684,895,riddles,escape room,17,roulette
3,light,true,26,586,127,trivia,maze,6,slot machine
74,light,false,73,993,924,jokes,escape room,19,bingo
34,dark,true,78,92,102,jokes,puzzle,5,roulette
100,colorful,false,15,150,867,trivia,puzzle,12,roulette
94,light,true,26,925,74,trivia,escape room,12,slot machine
95,colorful,true,37,614,685,jokes,maze,20,bingo
31,light,false,77,230,36,riddles,puzzle,6,slot machine
5,colorful,true,72,669,340,riddles,maze,1,roulette
100,colorful,true,42,115,425,trivia,puzzle,18,roulette
40,colorful,true,37,79,287,jokes,puzzle,20,bingo
50,colorful,true,20,845,739,riddles,puzzle,10,roulette
66,light,false,44,652,333,trivia,puzzle,15,roulette
57,light,true,94,901,260,jokes,puzzle,2,bingo
70,light,true,18,647,931,jokes,puzzle,15,bingo
15,colorful,false,100,140,335,riddles,puzzle,10,bingo
41,light,true,51,800,26,trivia,puzzle,15,bingo
97,dark,false,62,322,706,riddles,escape room,15,roulette
58,light,true,46,552,929,jokes,maze,10,roulette
32,light,false,44,5,440,riddles,puzzle,4,bingo
31,dark,true,45,997,136,trivia,puzzle,20,bingo
21,dark,true,17,976,614,jokes,escape room,4,slot machine
27,colorful,true,61,538,306,jokes,maze,2,bingo
64,colorful,true,2,483,81,jokes,puzzle,10,roulette
63,dark,false,83,154,135,jokes,puzzle,6,roulette
80,dark,true,47,431,15,riddles,puzzle,20,slot machine
49,colorful,true,94,441,702,jokes,maze,12,slot machine
10,light,true,67,370,822,riddles,puzzle,2,slot machine
29,dark,true,21,172,662,trivia,puzzle,5,bingo
76,light,true,22,190,798,riddles,escape room,2,bingo
95,colorful,true,23,352,937,trivia,maze,3,roulette
37,light,true,22,622,58,riddles,escape room,19,bingo
44,dark,true,64,913,13,jokes,puzzle,7,roulette
60,colorful,false,89,134,781,riddles,puzzle,10,slot machine
58,dark,true,57,998,785,trivia,puzzle,2,roulette
89,colorful,true,86,534,692,trivia,escape room,20,bingo
60,dark,false,58,787,805,riddles,puzzle,3,bingo
27,dark,false,53,372,22,jokes,maze,13,slot machine
78,light,false,34,440,54,riddles,maze,17,roulette
24,colorful,true,8,996,296,trivia,escape room,6,bingo
40,colorful,false,64,522,774,riddles,puzzle,1,slot machine
89,colorful,true,14,974,57,jokes,maze,17,roulette
16,dark,true,19,494,532,trivia,puzzle,9,roulette
84,colorful,false,37,360,961,jokes,escape room,20,bingo
44,colorful,true,73,66,197,riddles,maze,4,bingo
63,colorful,true,55,533,169,jokes,puzzle,11,roulette
53,dark,false,33,224,256,riddles,puzzle,8,slot machine
35,dark,false,14,909,792,trivia,puzzle,15,slot machine
77,dark,true,100,884,525,riddles,escape room,9,slot machine
79,light,true,27,935,782,jokes,escape room,15,slot machine
97,dark,false,21,750,845,jokes,escape room,19,bingo
66,light,true,66,574,825,trivia,escape room,15,bingo
25,light,true,50,788,307,riddles,puzzle,11,roulette
23,dark,false,97,155,700,trivia,escape room,13,bingo
37,colorful,false,76,772,167,trivia,escape room,3,bingo
49,dark,false,8,864,317,jokes,puzzle,17,bingo
42,dark,true,47,577,472,jokes,escape room,12,roulette
24,light,true,82,1,564,jokes,escape room,1,slot machine
48,colorful,false,69,834,21,jokes,escape room,10,roulette
84,light,false,85,241,22,trivia,escape room,19,roulette
90,colorful,false,29,749,491,riddles,maze,6,roulette
44,light,false,93,354,940,riddles,puzzle,4,bingo
23,dark,true,55,496,642,jokes,maze,17,roulette
91,dark,true,56,858,391,riddles,maze,13,roulette
16,colorful,true,35,304,82,jokes,puzzle,10,slot machine
1,colorful,false,7,521,124,trivia,maze,13,bingo
60,light,true,47,476,139,riddles,escape room,9,bingo
13,colorful,false,28,168,374,trivia,puzzle,6,bingo
71,dark,true,24,479,504,jokes,escape room,14,bingo
12,colorful,false,87,797,861,riddles,maze,10,bingo
25,colorful,true,70,748,313,riddles,escape room,16,slot machine
90,light,false,1,255,852,trivia,maze,1,bingo
32,dark,false,18,502,408,jokes,maze,19,roulette
100,dark,false,2,437,920,jokes,maze,8,bingo
18,colorful,true,21,625,958,riddles,escape room,14,bingo
16,light,true,48,839,664,riddles,maze,17,roulette
88,light,true,74,316,418,jokes,puzzle,2,roulette
85,dark,false,32,743,88,trivia,maze,17,slot machine
3,dark,false,83,688,772,riddles,escape room,19,roulette
20,light,true,33,675,705,trivia,puzzle,20,bingo
72,light,false,77,387,796,riddles,escape room,12,roulette
10,colorful,false,72,624,78,jokes,maze,18,roulette
89,colorful,false,37,169,125,trivia,maze,10,bingo
75,light,false,55,879,897,jokes,maze,12,slot machine
24,dark,false,84,820,572,trivia,puzzle,8,bingo
22,light,false,94,650,680,riddles,escape room,20,slot machine
96,dark,false,87,59,322,trivia,escape room,1,slot machine
36,dark,true,78,316,837,jokes,maze,7,slot machine
97,colorful,true,49,795,913,trivia,escape room,8,bingo
80,dark,true,10,583,939,trivia,puzzle,11,slot machine
89,colorful,false,11,380,384,trivia,maze,1,slot machine
50,colorful,false,49,9,738,jokes,puzzle,18,roulette
38,dark,false,15,769,82,trivia,escape room,10,slot machine
91,dark,false,29,879,604,trivia,escape room,9,roulette
74,light,false,59,857,194,trivia,maze,11,slot machine
64,dark,false,67,934,323,riddles,maze,7,slot machine
78,dark,false,57,679,307,jokes,maze,18,bingo
68,dark,false,64,408,468,jokes,maze,6,slot machine
53,colorful,false,49,571,816,riddles,maze,16,bingo
57,colorful,false,95,430,287,riddles,escape room,7,slot machine
35,light,false,99,541,860,riddles,escape room,20,bingo
94,light,true,45,537,306,jokes,escape room,8,slot machine
53,dark,true,49,523,26,jokes,maze,12,roulette
81,dark,false,58,656,715,jokes,maze,10,slot machine
22,dark,false,5,760,901,trivia,maze,2,slot machine
23,light,true,36,523,880,trivia,puzzle,16,roulette
71,dark,false,52,520,536,trivia,puzzle,19,roulette
91,dark,true,46,137,987,riddles,maze,5,slot machine
27,colorful,false,52,449,622,riddles,escape room,7,bingo
9,colorful,false,99,723,798,riddles,puzzle,6,bingo
30,colorful,true,88,285,674,trivia,maze,14,bingo
76,light,true,29,984,168,riddles,puzzle,11,bingo
26,dark,false,39,810,190,trivia,maze,7,roulette
50,colorful,false,87,958,276,jokes,escape room,9,slot machine
62,colorful,false,8,48,517,riddles,escape room,13,slot machine
33,colorful,false,90,437,777,riddles,escape room,20,bingo
56,dark,true,18,588,719,trivia,puzzle,8,bingo
2,dark,true,74,865,82,jokes,maze,4,slot machine
7,dark,false,29,602,884,trivia,escape room,18,bingo
11,light,true,95,985,936,jokes,puzzle,17,slot machine
6,dark,false,24,829,115,trivia,maze,9,bingo
7,light,true,27,124,514,jokes,puzzle,13,bingo
3,colorful,false,93,816,733,jokes,escape room,5,roulette
43,light,true,25,35,375,jokes,maze,12,bingo
88,light,false,74,722,26,riddles,puzzle,20,bingo
88,colorful,true,93,237,955,jokes,escape room,13,slot machine
36,light,false,67,666,886,jokes,puzzle,11,slot machine
6,colorful,false,72,881,823,riddles,maze,14,roulette
96,light,false,48,620,735,trivia,maze,16,roulette
17,dark,false,8,905,443,jokes,puzzle,7,bingo
72,colorful,false,85,794,45,riddles,puzzle,14,bingo
30,colorful,true,60,819,979,trivia,escape room,11,roulette
42,colorful,true,90,590,285,riddles,escape room,8,bingo
34,colorful,false,93,680,88,jokes,escape room,10,roulette
16,light,false,42,498,144,jokes,escape room,1,roulette
50,light,true,16,995,624,riddles,maze,16,roulette
9,colorful,false,42,270,994,trivia,puzzle,17,slot machine
56,dark,false,44,989,37,trivia,maze,12,bingo
13,light,true,98,142,743,riddles,puzzle,13,roulette
89,dark,false,18,178,196,trivia,maze,3,slot machine
29,dark,true,40,967,950,trivia,escape room,16,bingo
19,colorful,false,48,406,599,trivia,maze,17,slot machine
59,light,true,19,10,344,trivia,escape room,15,roulette
43,dark,false,3,224,367,riddles,puzzle,14,bingo
54,colorful,true,32,603,37,riddles,escape room,2,roulette
17,colorful,true,42,803,31,jokes,escape room,1,roulette
11,dark,true,44,169,211,riddles,maze,1,roulette
62,colorful,false,82,244,987,riddles,puzzle,15,bingo
86,light,false,15,93,253,trivia,escape room,3,roulette
68,dark,true,57,67,911,riddles,maze,5,bingo
4,light,false,15,993,744,jokes,maze,4,roulette
16,colorful,true,8,69,26,riddles,maze,16,roulette
38,colorful,false,87,193,392,jokes,puzzle,9,slot machine
76,light,false,28,795,783,trivia,puzzle,16,slot machine
77,light,true,10,497,460,trivia,puzzle,19,roulette
47,light,true,12,890,817,riddles,escape room,12,roulette
40,colorful,true,97,148,179,trivia,maze,14,bingo
13,colorful,true,20,850,212,riddles,escape room,12,roulette
64,colorful,false,18,900,151,trivia,maze,20,slot machine
80,dark,false,24,757,929,riddles,puzzle,11,roulette
87,colorful,false,16,296,897,trivia,puzzle,4,bingo
27,light,false,78,130,546,trivia,escape room,15,roulette
45,light,false,80,801,639,jokes,maze,14,bingo
91,colorful,false,18,845,198,riddles,maze,16,roulette
48,dark,false,95,40,372,trivia,escape room,20,roulette
50,colorful,false,71,162,993,trivia,escape room,12,roulette
83,dark,false,49,941,719,trivia,escape room,14,slot machine
49,light,true,68,877,818,riddles,escape room,12,bingo
33,light,true,65,222,642,trivia,maze,14,bingo
53,light,false,39,642,620,jokes,maze,17,bingo
29,colorful,true,42,238,850,trivia,escape room,4,bingo
80,colorful,false,5,947,772,riddles,maze,19,roulette
23,light,false,19,521,313,riddles,escape room,2,roulette
54,light,false,88,904,900,riddles,maze,6,roulette
68,light,false,9,952,75,jokes,maze,16,slot machine
78,colorful,true,95,108,972,riddles,escape room,13,slot machine
76,light,true,14,755,498,riddles,maze,1,bingo
14,colorful,true,23,313,930,riddles,puzzle,2,slot machine
25,light,false,68,968,77,jokes,maze,2,slot machine
11,colorful,true,77,3,747,trivia,maze,5,bingo
68,colorful,true,41,29,376,jokes,puzzle,10,slot machine
94,colorful,false,92,236,404,riddles,puzzle,13,roulette
94,light,true,70,838,638,trivia,puzzle,11,bingo
96,dark,true,82,846,669,riddles,puzzle,8,slot machine
23,colorful,true,43,673,933,riddles,maze,5,slot machine
76,colorful,true,75,792,680,riddles,puzzle,6,bingo
54,dark,false,89,139,703,riddles,escape room,15,slot machine
15,colorful,true,48,901,606,jokes,escape room,12,roulette
3,colorful,true,47,192,297,jokes,puzzle,10,slot machine
79,dark,true,44,670,550,trivia,maze,2,roulette
78,dark,true,30,855,167,jokes,escape room,12,roulette
52,dark,true,68,854,918,riddles,puzzle,16,roulette
30,dark,true,83,493,230,jokes,maze,20,roulette
4,light,true,50,338,385,trivia,maze,11,bingo
57,dark,false,32,671,515,riddles,maze,11,roulette
9,dark,false,2,838,677,trivia,escape room,6,slot machine
39,colorful,false,70,249,586,riddles,puzzle,6,roulette
18,light,false,84,136,510,jokes,escape room,17,slot machine
14,dark,false,79,242,114,jokes,escape room,10,bingo
70,colorful,true,21,513,825,trivia,escape room,20,bingo
10,colorful,true,31,20,148,jokes,escape room,3,slot machine
58,dark,false,64,154,763,jokes,puzzle,9,bingo
39,light,false,56,602,295,riddles,puzzle,7,roulette
86,colorful,true,2,708,159,riddles,escape room,18,roulette
29,colorful,false,54,795,83,jokes,maze,1,roulette
72,colorful,false,92,601,709,riddles,maze,13,roulette
60,colorful,true,50,932,730,riddles,escape room,6,roulette
10,colorful,false,39,836,305,jokes,maze,20,bingo
93,light,false,51,644,664,trivia,puzzle,15,slot machine
45,colorful,false,26,968,261,trivia,maze,8,roulette
3,colorful,false,28,157,130,trivia,escape room,15,roulette
42,colorful,true,46,707,489,jokes,puzzle,8,bingo
72,colorful,false,82,761,61,trivia,escape room,8,bingo
39,colorful,true,25,907,313,riddles,maze,16,slot machine
87,light,true,86,885,277,riddles,puzzle,11,slot machine
62,colorful,true,44,623,132,jokes,escape room,16,roulette
97,dark,false,42,153,685,riddles,puzzle,13,roulette
85,colorful,false,88,228,717,jokes,escape room,11,slot machine
24,colorful,false,11,38,94,jokes,maze,20,roulette
19,colorful,true,62,465,420,jokes,maze,16,bingo
25,light,false,88,224,990,riddles,puzzle,4,slot machine
4,dark,true,62,907,577,riddles,escape room,4,bingo
73,dark,true,74,232,568,jokes,maze,2,roulette
40,colorful,false,93,242,367,trivia,escape room,14,bingo
17,colorful,true,35,237,772,riddles,escape room,2,slot machine
4,light,false,29,598,628,jokes,escape room,4,slot machine
88,dark,false,12,525,118,jokes,puzzle,6,slot machine
59,colorful,true,55,37,396,riddles,puzzle,15,slot machine
37,colorful,true,7,654,288,jokes,puzzle,2,bingo
76,dark,false,8,980,296,riddles,escape room,13,bingo
5,dark,false,88,462,13,jokes,maze,11,bingo
54,colorful,false,17,286,721,trivia,maze,10,slot machine
30,dark,true,82,527,398,jokes,escape room,12,slot machine
87,light,false,7,116,500,riddles,maze,17,slot machine
44,dark,false,44,609,548,jokes,maze,8,roulette
28,colorful,false,46,57,691,jokes,escape room,16,slot machine
6,light,true,66,883,570,trivia,puzzle,4,roulette
51,dark,false,3,986,357,trivia,escape room,19,roulette
31,dark,false,1,229,839,riddles,maze,12,bingo
88,dark,false,40,497,867,riddles,escape room,20,bingo
99,light,true,84,398,307,trivia,maze,18,roulette
51,colorful,true,79,117,330,trivia,escape room,14,slot machine
88,colorful,true,49,359,493,riddles,puzzle,3,bingo
56,colorful,true,70,178,864,jokes,puzzle,16,roulette
93,dark,false,72,213,168,trivia,escape room,13,roulette
50,dark,false,72,205,358,trivia,maze,3,roulette
68,dark,true,50,600,581,riddles,maze,20,roulette
14,light,false,9,568,336,jokes,maze,16,roulette
8,light,true,82,413,591,riddles,maze,20,slot machine
91,colorful,false,82,441,226,jokes,escape room,11,roulette
57,light,false,8,163,63,jokes,maze,7,bingo
28,light,false,62,589,163,riddles,escape room,20,slot machine
89,light,true,7,442,852,riddles,maze,1,roulette
93,light,false,66,16,64,jokes,escape room,7,roulette
4,light,true,58,511,31,trivia,escape room,17,slot machine
31,light,true,76,356,117,jokes,escape room,5,slot machine
81,light,true,49,853,576,trivia,maze,1,bingo
81,light,true,62,975,154,riddles,maze,6,slot machine
98,dark,true,45,839,615,jokes,puzzle,9,roulette
8,light,false,64,650,856,jokes,maze,5,bingo
99,colorful,false,95,312,811,riddles,escape room,6,bingo
30,colorful,false,16,153,682,riddles,puzzle,7,roulette
83,dark,false,3,96,918,trivia,puzzle,13,bingo
11,dark,false,41,247,828,trivia,puzzle,19,bingo
37,colorful,true,85,394,629,riddles,maze,8,bingo
73,light,false,61,106,282,riddles,puzzle,12,slot machine
57,dark,true,55,410,994,riddles,maze,14,roulette
33,colorful,false,6,2,636,trivia,puzzle,6,bingo
50,colorful,true,61,736,58,jokes,maze,13,bingo
77,light,true,88,417,410,trivia,escape room,20,slot machine
31,light,false,92,962,699,riddles,puzzle,2,bingo
5,colorful,false,3,303,312,riddles,escape room,8,slot machine
27,colorful,true,20,146,320,jokes,escape room,12,bingo
37,colorful,false,64,920,915,trivia,maze,6,roulette
44,light,false,94,7,583,riddles,maze,17,slot machine
49,colorful,false,88,275,677,riddles,escape room,5,bingo
36,colorful,false,57,764,65,jokes,escape room,2,bingo
2,dark,false,94,785,670,riddles,escape room,1,bingo
8,light,true,3,613,798,jokes,escape room,13,roulette
52,light,false,53,345,129,jokes,maze,16,slot machine
8,light,true,94,96,599,trivia,escape room,11,bingo
95,colorful,true,25,692,746,jokes,puzzle,16,slot machine
41,light,false,85,315,269,trivia,puzzle,6,roulette
87,colorful,true,2,951,885,riddles,puzzle,15,roulette
35,dark,false,54,611,173,riddles,escape room,3,roulette
61,dark,true,47,578,69,jokes,escape room,18,bingo
65,dark,true,31,891,909,riddles,escape room,14,bingo
96,dark,false,47,121,205,jokes,escape room,16,bingo
75,colorful,false,31,154,201,riddles,maze,8,roulette
58,dark,true,36,551,992,trivia,maze,14,roulette
33,colorful,false,21,210,619,trivia,puzzle,3,roulette
54,dark,false,43,327,854,jokes,escape room,13,bingo
74,dark,true,39,965,971,riddles,escape room,18,roulette
49,colorful,false,77,937,33,riddles,puzzle,11,roulette
47,colorful,false,53,841,723,jokes,escape room,15,roulette
21,colorful,true,20,571,34,trivia,escape room,11,slot machine
85,light,true,66,964,469,trivia,escape room,11,slot machine
68,dark,true,64,317,892,jokes,escape room,8,roulette
22,light,true,89,662,632,riddles,escape room,15,slot machine
8,colorful,true,7,459,822,trivia,puzzle,11,slot machine
90,light,true,41,349,852,riddles,puzzle,18,roulette
19,dark,true,82,96,510,riddles,maze,15,slot machine
59,light,false,40,303,820,jokes,maze,20,roulette
20,dark,true,87,949,796,riddles,maze,17,bingo
70,colorful,true,41,612,539,jokes,puzzle,9,bingo
2,light,false,79,437,657,trivia,escape room,15,roulette
28,dark,true,80,419,880,trivia,escape room,3,bingo
26,dark,false,40,632,979,riddles,escape room,4,roulette
22,colorful,true,76,337,927,riddles,puzzle,4,roulette
19,dark,false,67,588,448,jokes,puzzle,3,bingo
73,colorful,true,92,470,819,riddles,maze,3,slot machine
87,light,true,95,381,599,riddles,puzzle,7,bingo
65,colorful,true,57,380,891,riddles,puzzle,8,bingo
96,colorful,false,50,171,624,riddles,puzzle,18,bingo
18,light,false,91,755,54,jokes,maze,15,bingo
87,light,true,16,189,939,trivia,maze,10,roulette
65,colorful,true,70,159,34,riddles,puzzle,17,bingo
89,light,false,99,386,300,trivia,escape room,18,roulette
95,light,false,88,544,899,riddles,maze,1,roulette
68,dark,true,36,327,853,trivia,maze,12,bingo
84,colorful,true,59,473,436,jokes,maze,6,bingo
89,colorful,true,58,251,413,trivia,maze,18,slot machine
24,light,true,44,595,377,trivia,maze,4,bingo
22,light,true,9,857,130,riddles,escape room,4,slot machine
87,colorful,true,32,174,916,jokes,maze,2,slot machine
63,dark,true,40,698,2,trivia,puzzle,3,roulette
89,light,false,84,92,677,jokes,maze,5,roulette
96,colorful,true,8,970,733,riddles,maze,4,slot machine
3,dark,false,25,107,517,jokes,puzzle,16,bingo
89,light,true,74,111,365,riddles,maze,20,slot machine
67,dark,false,61,884,623,riddles,maze,8,roulette
51,light,false,36,807,916,trivia,escape room,5,bingo
93,colorful,true,95,829,700,jokes,maze,7,bingo
61,light,true,96,890,599,jokes,maze,3,slot machine
89,colorful,false,53,627,617,jokes,puzzle,8,slot machine
99,dark,true,41,697,528,trivia,puzzle,4,bingo
40,colorful,false,11,707,368,riddles,escape room,20,slot machine
58,dark,false,6,419,641,trivia,puzzle,12,slot machine
30,colorful,false,25,944,482,jokes,maze,16,bingo
20,dark,false,53,744,278,jokes,maze,12,slot machine
46,dark,true,88,370,479,riddles,escape room,18,bingo
23,light,false,14,859,230,riddles,maze,9,bingo
2,light,true,92,918,647,trivia,puzzle,20,bingo
94,light,false,1,284,197,jokes,maze,20,bingo
21,colorful,false,99,852,3,jokes,escape room,13,slot machine
18,dark,true,10,592,68,jokes,escape room,8,bingo
94,colorful,true,21,653,948,trivia,puzzle,6,bingo
29,dark,false,23,207,138,trivia,escape room,12,bingo
38,colorful,false,37,438,843,riddles,puzzle,17,slot machine
37,colorful,true,16,869,550,riddles,maze,17,slot machine
54,colorful,false,55,161,111,jokes,maze,20,roulette
53,dark,false,15,694,557,jokes,maze,12,bingo
17,light,false,15,368,595,riddles,escape room,14,slot machine
73,colorful,false,76,910,645,riddles,puzzle,20,roulette
2,light,true,8,605,180,riddles,maze,4,roulette
47,colorful,false,46,700,837,trivia,puzzle,6,roulette
66,colorful,true,16,794,9,jokes,escape room,14,slot machine
67,light,true,49,99,767,jokes,maze,10,roulette
30,light,false,61,838,76,trivia,puzzle,11,roulette
50,light,false,8,851,814,riddles,puzzle,6,slot machine
20,light,true,14,399,99,riddles,escape room,17,bingo
4,light,false,89,994,848,riddles,maze,17,slot machine
28,light,true,93,460,634,jokes,maze,20,bingo
55,colorful,true,85,140,700,jokes,puzzle,1,roulette
97,colorful,false,7,89,481,riddles,escape room,10,bingo
65,dark,true,65,908,881,trivia,maze,12,slot machine
95,colorful,true,76,90,924,jokes,puzzle,3,slot machine
21,light,false,94,856,381,trivia,escape room,8,roulette
32,light,false,26,934,593,jokes,maze,3,roulette
5,light,true,39,573,672,riddles,maze,14,bingo
98,colorful,true,62,406,982,jokes,maze,16,slot machine
68,dark,true,55,670,772,jokes,puzzle,10,roulette
96,dark,false,74,371,92,jokes,puzzle,2,bingo
98,dark,false,56,59,656,riddles,puzzle,3,bingo
98,colorful,true,95,738,681,jokes,maze,7,roulette
68,light,false,9,119,133,trivia,puzzle,19,roulette
12,colorful,true,97,800,682,trivia,puzzle,3,roulette
44,dark,false,38,3,542,trivia,puzzle,18,bingo
39,colorful,true,40,728,657,riddles,puzzle,15,roulette
93,dark,true,80,15,663,jokes,maze,7,bingo
39,colorful,false,16,680,197,riddles,escape room,4,roulette
74,light,false,13,11,961,riddles,puzzle,20,slot machine
34,colorful,true,54,535,659,riddles,maze,12,bingo
54,light,true,96,890,108,riddles,escape room,1,roulette
88,light,false,83,254,937,trivia,escape room,16,slot machine
53,light,false,62,909,869,jokes,maze,16,bingo
