player_name,score,level,spin_result,lucky_number,animation_style,chaos_level,guessing_attempts,decision_made,wheel_color
Carla,166,7,win,10,bounce,5,1,yes,yellow
Nicola,439,3,lose,23,zoom,3,10,yes,yellow
Homer,426,4,lose,35,bounce,4,10,maybe,green
Agnella,846,5,draw,65,fade,5,10,yes,green
Maggie,492,9,draw,35,fade,3,6,maybe,yellow
Babs,32,7,win,2,zoom,1,3,maybe,red
Irvin,16,6,draw,61,fade,4,2,yes,red
Tory,633,1,draw,62,fade,1,4,yes,green
Broderick,184,5,win,17,bounce,5,1,maybe,red
Korella,196,5,lose,18,zoom,1,4,yes,red
Clarine,963,4,lose,60,fade,1,4,no,blue
Dale,267,1,win,85,bounce,3,8,yes,yellow
Sharline,999,5,win,43,zoom,2,6,maybe,yellow
Glyn,407,10,draw,14,fade,5,7,yes,red
Ber,501,9,win,78,bounce,3,9,yes,red
Albertina,376,4,lose,45,bounce,1,1,no,red
Tommie,838,7,lose,64,bounce,2,8,no,yellow
Quentin,225,8,lose,55,bounce,1,5,no,green
Aldus,130,10,draw,12,zoom,1,1,yes,red
Vinson,53,10,draw,71,bounce,3,9,maybe,red
Jamaal,580,7,draw,97,zoom,2,5,no,yellow
Onfre,290,5,win,74,fade,5,8,yes,red
Gregorius,255,2,lose,89,bounce,3,6,no,green
Fitzgerald,545,7,win,12,zoom,3,6,no,blue
Sophie,547,9,win,29,bounce,5,5,no,yellow
Elisha,365,7,lose,94,bounce,2,6,yes,red
Emera,741,5,win,6,bounce,5,2,no,yellow
Gerhardt,620,5,lose,20,bounce,1,7,maybe,blue
Laurel,651,2,draw,19,zoom,4,4,maybe,green
Leanora,182,8,lose,80,fade,1,6,no,yellow
Nancy,236,4,lose,85,fade,5,10,yes,green
Kesley,945,3,win,85,zoom,1,10,yes,blue
Flemming,314,7,lose,54,bounce,5,6,maybe,blue
Lilias,306,8,lose,87,zoom,2,2,maybe,yellow
Reube,239,3,lose,8,bounce,5,8,yes,red
Heddi,263,9,win,88,zoom,1,8,no,blue
Filia,961,4,lose,97,fade,1,5,maybe,red
Alphonse,520,4,win,76,zoom,3,2,no,green
Lucio,150,9,lose,56,fade,3,5,yes,blue
Mandie,599,9,win,92,zoom,4,4,maybe,yellow
Albie,812,9,lose,84,bounce,2,7,maybe,red
Ferdie,473,3,draw,76,fade,3,3,no,red
Conchita,734,9,win,72,bounce,1,6,yes,red
Ilario,509,10,win,97,bounce,3,8,no,red
Gustave,741,3,lose,4,zoom,1,10,yes,red
Patton,697,8,lose,46,zoom,5,2,maybe,blue
Arturo,15,3,draw,47,fade,4,5,yes,yellow
Tine,409,3,draw,87,fade,5,3,no,red
Archibold,437,10,lose,11,fade,2,3,no,yellow
Glenna,17,8,lose,25,bounce,5,6,no,yellow
Zorah,30,5,win,38,bounce,3,1,yes,blue
Drud,194,7,lose,24,zoom,4,8,maybe,green
Marni,964,7,lose,52,fade,3,9,no,blue
Neala,464,4,lose,5,zoom,4,10,maybe,green
Sunshine,268,5,win,85,zoom,5,3,maybe,yellow
Lennie,362,9,lose,90,zoom,2,9,maybe,green
Andeee,639,1,lose,54,zoom,2,4,yes,green
Amabelle,818,9,win,39,fade,5,6,maybe,green
Natalie,276,3,draw,48,zoom,2,9,maybe,red
Jacqueline,115,7,draw,79,zoom,2,2,yes,yellow
Teri,626,3,lose,93,bounce,1,4,maybe,yellow
Granthem,78,1,win,99,fade,3,4,yes,green
Brietta,914,5,draw,2,zoom,5,2,yes,green
Ram,194,1,lose,12,zoom,5,4,yes,green
Merrili,177,8,draw,42,bounce,3,9,yes,blue
Gilberto,310,9,draw,2,fade,5,2,maybe,blue
Hakim,366,7,draw,55,fade,4,1,no,yellow
Garold,634,6,draw,32,bounce,4,9,no,green
Jan,717,1,win,9,zoom,1,10,no,red
Danny,381,5,draw,49,fade,4,4,no,green
Barty,441,7,lose,5,fade,1,2,no,yellow
Madelina,622,6,draw,17,zoom,1,8,yes,yellow
Val,676,2,win,97,bounce,1,3,maybe,green
Meredeth,253,5,win,15,bounce,2,9,yes,red
Vinnie,436,1,win,30,bounce,2,3,yes,yellow
Daron,391,3,lose,49,zoom,3,4,maybe,green
Cletus,149,2,draw,37,zoom,5,8,yes,green
Karel,858,9,draw,48,bounce,5,5,no,red
Obidiah,298,8,draw,6,zoom,3,9,yes,yellow
Marcela,389,9,draw,48,zoom,3,5,no,green
Rodolfo,893,7,lose,7,bounce,4,8,maybe,green
Jimmy,278,10,lose,79,bounce,2,7,no,red
Maxie,137,3,lose,4,bounce,3,7,no,blue
Hobart,162,5,lose,94,zoom,5,7,maybe,blue
Anatola,941,1,draw,53,fade,4,6,no,red
Jaquenette,830,2,draw,97,bounce,4,9,maybe,blue
Welch,317,4,lose,87,zoom,5,1,no,yellow
Kordula,852,6,lose,47,fade,5,9,no,yellow
Samson,308,8,draw,19,zoom,1,3,yes,blue
Ramon,5,9,draw,49,fade,2,6,yes,red
Baxie,500,6,lose,52,zoom,5,10,no,red
Mitch,854,5,draw,56,fade,2,10,no,blue
Lynette,788,7,lose,84,bounce,2,3,yes,blue
Daisey,103,1,win,80,zoom,3,6,maybe,red
Gweneth,391,7,draw,23,fade,4,7,maybe,green
Selene,824,7,draw,82,bounce,2,10,maybe,blue
Tobi,749,5,draw,75,bounce,4,3,yes,green
Jeth,883,3,draw,37,bounce,1,4,maybe,yellow
Adrian,925,4,win,56,bounce,1,9,yes,yellow
Derward,171,5,draw,11,bounce,4,1,yes,green
Raynard,949,9,draw,36,fade,2,9,maybe,yellow
Grange,281,9,win,14,fade,4,8,yes,green
Davine,97,8,draw,31,bounce,1,7,no,red
Osborne,334,6,lose,12,bounce,2,7,yes,red
Orelia,530,1,win,37,zoom,4,8,maybe,green
Siobhan,889,2,win,34,fade,1,5,maybe,red
Roddie,376,1,win,78,bounce,4,5,maybe,red
Alvis,28,7,draw,52,bounce,2,2,no,blue
Mata,724,3,lose,5,bounce,1,8,yes,red
Rodd,365,7,win,52,bounce,4,5,no,red
Lorens,263,8,draw,7,zoom,2,2,yes,red
Gaynor,174,6,win,98,fade,4,5,no,blue
Janela,448,1,win,43,zoom,3,7,no,blue
Leopold,450,9,draw,44,bounce,3,5,maybe,yellow
Devland,262,10,lose,52,zoom,4,1,no,green
Belinda,50,7,draw,84,zoom,2,9,yes,blue
Miles,904,1,draw,1,fade,5,9,no,yellow
Sheryl,860,9,win,27,zoom,3,9,maybe,blue
Ursa,884,7,win,12,bounce,2,2,yes,green
Jocelyn,62,6,draw,54,bounce,5,5,maybe,yellow
Teirtza,177,6,win,98,fade,5,10,no,blue
Shandra,362,9,win,30,zoom,3,10,maybe,red
Livy,290,5,draw,47,zoom,1,9,no,blue
Vincent,530,3,draw,86,bounce,1,10,no,blue
Sheri,948,9,lose,97,bounce,3,8,no,yellow
Calv,183,5,win,36,zoom,3,3,no,blue
Tamas,811,8,draw,95,fade,1,6,no,blue
Dehlia,598,7,win,91,zoom,1,1,yes,yellow
Rosemary,81,9,lose,11,bounce,3,6,maybe,blue
Levy,130,4,lose,33,fade,3,7,yes,yellow
Patten,709,4,draw,49,fade,4,7,yes,blue
Charmane,573,2,lose,14,bounce,3,4,maybe,yellow
Melody,459,5,lose,36,zoom,1,10,maybe,green
Faydra,917,9,lose,62,zoom,4,7,yes,blue
Lion,569,2,draw,94,bounce,4,4,no,yellow
Niven,762,8,win,80,fade,5,7,no,green
Faustine,572,4,win,36,bounce,1,2,maybe,blue
Frederico,474,4,draw,28,zoom,5,3,yes,blue
Teador,938,7,lose,96,bounce,2,5,yes,yellow
Nelle,261,1,draw,22,bounce,2,9,no,red
Cirstoforo,730,3,draw,58,zoom,3,6,maybe,green
Hildagard,622,1,draw,47,zoom,5,7,yes,green
Gerick,600,5,win,74,zoom,3,4,maybe,blue
Avictor,967,4,win,19,fade,1,8,no,green
Fran,202,3,draw,99,zoom,2,7,no,yellow
Ardith,77,8,win,66,fade,3,5,yes,blue
Bret,753,6,lose,12,bounce,3,4,yes,green
Isa,357,3,lose,81,zoom,5,6,no,red
Garrek,765,4,win,21,fade,3,1,maybe,green
Burlie,686,6,win,81,fade,5,7,yes,yellow
Isak,282,1,win,65,fade,5,1,yes,green
Loraine,59,10,lose,50,fade,2,6,maybe,blue
Jarret,547,2,draw,62,bounce,4,5,no,green
Staffard,506,10,lose,28,fade,2,9,no,yellow
Gennie,983,4,draw,48,zoom,1,4,no,yellow
Alica,795,3,draw,55,fade,2,7,maybe,red
Raymond,538,1,win,5,fade,5,1,yes,yellow
Margi,977,3,draw,96,bounce,5,8,yes,blue
Dorree,38,9,lose,31,bounce,4,9,maybe,yellow
Heindrick,832,9,draw,29,bounce,5,2,no,yellow
Pippy,387,4,draw,53,bounce,3,7,yes,green
Madelaine,457,10,draw,61,bounce,4,5,no,yellow
Delano,369,2,draw,15,bounce,4,5,no,green
Dalston,544,8,draw,53,fade,2,1,no,yellow
Adrian,949,9,win,71,bounce,4,7,no,green
Susann,380,2,draw,60,zoom,4,7,maybe,yellow
Gerhardine,946,1,draw,6,fade,4,5,no,red
Sax,523,6,win,33,bounce,3,8,maybe,red
Kattie,859,4,lose,2,zoom,2,8,no,blue
Henderson,302,5,draw,11,fade,2,5,yes,green
Zaccaria,515,10,lose,84,bounce,1,4,maybe,red
Violet,670,4,win,67,bounce,1,3,maybe,green
Hewett,277,1,draw,12,zoom,5,1,yes,red
Serena,307,2,win,77,zoom,5,10,yes,blue
Nanci,59,4,draw,66,bounce,1,4,maybe,yellow
Celene,710,7,lose,3,zoom,3,2,no,yellow
Erich,250,4,draw,78,zoom,4,5,no,green
Terrance,628,9,draw,48,zoom,4,6,no,green
Ruprecht,944,6,lose,99,zoom,2,2,no,red
Gena,582,10,lose,60,fade,5,10,yes,red
Chance,546,7,lose,25,fade,5,3,no,blue
Cristi,618,7,lose,63,fade,2,1,yes,green
Piper,726,5,win,65,zoom,3,6,no,red
Tressa,416,5,win,38,fade,2,1,yes,red
Jany,553,3,win,80,zoom,2,5,yes,green
Jessy,375,7,draw,98,bounce,5,7,yes,red
Sandie,222,5,win,7,zoom,3,10,maybe,green
Neysa,64,2,draw,22,fade,3,7,maybe,green
Isiahi,19,9,draw,89,bounce,5,4,no,blue
Eustacia,854,4,draw,88,zoom,1,9,yes,yellow
Abe,560,1,draw,33,zoom,1,2,maybe,red
Ric,100,4,win,34,fade,1,5,yes,red
Josh,699,4,lose,68,fade,4,3,no,red
Leopold,28,3,win,41,bounce,1,6,maybe,green
Brenda,608,9,lose,50,zoom,1,3,yes,yellow
Kristoforo,148,4,lose,24,fade,4,10,no,blue
Tobe,258,1,draw,2,zoom,1,2,yes,yellow
Yuma,152,6,win,48,zoom,3,10,maybe,blue
Jodi,449,5,win,41,fade,5,5,yes,yellow
Ula,996,8,lose,54,fade,5,9,yes,red
Carly,175,8,win,80,zoom,1,10,yes,yellow
Halette,968,9,lose,80,fade,2,5,maybe,blue
Hartley,894,5,lose,79,zoom,4,4,yes,red
Daisi,910,2,draw,11,fade,4,10,no,green
Antonetta,437,9,lose,16,bounce,4,1,no,red
Beatrice,63,1,draw,80,bounce,3,1,maybe,blue
Michaelina,784,9,draw,45,zoom,5,3,maybe,blue
Conroy,480,5,draw,81,bounce,1,1,yes,red
Alene,196,7,draw,6,fade,3,8,no,blue
Tandy,901,9,draw,24,zoom,5,3,yes,red
Leigh,502,6,win,74,zoom,1,4,maybe,red
Averyl,982,5,draw,7,zoom,2,9,no,red
Ignatius,500,1,draw,41,fade,3,5,maybe,green
Maxy,341,8,draw,96,fade,2,9,no,red
Marrilee,841,4,draw,10,fade,1,5,no,blue
Elvyn,369,5,win,56,bounce,5,1,no,yellow
Walliw,918,4,lose,40,zoom,5,9,no,green
Doyle,759,1,win,20,bounce,5,3,maybe,green
Nikoletta,151,1,lose,21,bounce,4,2,maybe,red
Goldie,342,3,win,70,fade,4,1,maybe,blue
Pammy,872,9,win,89,bounce,4,6,yes,blue
Park,413,3,draw,22,zoom,3,5,yes,yellow
Josselyn,57,6,lose,17,zoom,4,10,maybe,green
Scottie,583,5,win,93,bounce,4,2,maybe,green
Garrik,355,3,lose,96,zoom,4,6,yes,red
Woodman,381,5,lose,59,bounce,3,7,maybe,green
Lani,248,3,win,56,zoom,1,2,maybe,green
Olimpia,391,7,win,79,zoom,5,1,yes,red
Cammy,437,10,draw,23,fade,5,7,yes,blue
Dani,711,2,draw,50,bounce,5,5,yes,yellow
Katine,137,5,lose,8,bounce,5,1,maybe,green
Robers,968,7,draw,55,fade,2,1,maybe,blue
Coraline,407,5,win,92,zoom,3,6,yes,red
Avrom,695,6,lose,42,fade,4,3,no,blue
Charlton,586,3,win,76,zoom,5,5,yes,red
Ina,600,5,draw,57,fade,5,6,no,yellow
Phil,471,3,win,13,bounce,1,6,yes,red
Dorice,242,7,draw,89,fade,4,9,no,blue
Jodie,607,7,lose,69,fade,3,6,no,green
Dorise,830,6,win,22,fade,4,4,yes,green
Law,407,8,draw,96,bounce,5,4,maybe,yellow
Freeland,504,5,win,77,fade,1,6,maybe,blue
Odilia,327,6,draw,57,fade,1,3,no,red
Federica,282,4,win,72,zoom,3,1,yes,red
Clarey,952,4,draw,81,bounce,4,1,no,yellow
Moe,959,7,lose,22,fade,4,7,maybe,yellow
Luke,176,10,draw,12,zoom,4,10,maybe,blue
Karlens,600,3,draw,93,fade,3,3,yes,yellow
Alidia,984,4,draw,88,zoom,2,1,maybe,red
Lennard,923,4,draw,48,zoom,1,10,maybe,yellow
Christel,932,2,lose,98,zoom,2,1,maybe,blue
Ines,834,1,draw,87,bounce,4,6,yes,yellow
Tresa,177,5,win,18,fade,2,9,maybe,blue
Hubie,58,1,lose,38,bounce,5,7,maybe,yellow
Josiah,217,7,win,99,fade,2,5,maybe,yellow
Murdoch,353,7,draw,69,fade,3,7,yes,yellow
Charley,551,1,lose,76,bounce,3,8,yes,green
Powell,404,3,win,36,bounce,2,2,maybe,red
Minerva,929,2,lose,21,bounce,4,4,no,red
August,37,3,draw,46,bounce,1,4,maybe,red
Sophronia,249,2,draw,23,zoom,4,10,no,red
Gerald,777,3,lose,85,bounce,1,4,no,red
Farand,110,6,win,50,bounce,2,3,no,red
Simona,240,8,win,45,zoom,2,5,maybe,blue
Chryste,265,8,win,19,fade,4,6,yes,blue
Haleigh,207,8,win,94,zoom,5,9,no,green
Danna,285,1,win,35,zoom,1,4,yes,red
Kaycee,164,4,lose,80,zoom,5,5,yes,blue
Kayne,684,7,lose,80,fade,1,2,yes,yellow
Abey,543,5,draw,73,bounce,1,1,maybe,blue
Delbert,361,1,win,43,bounce,3,6,maybe,green
Ellie,648,8,win,21,zoom,2,2,yes,red
Jessamine,441,8,draw,49,bounce,3,2,no,red
Peri,628,1,lose,11,zoom,3,1,no,red
Candace,121,7,lose,16,bounce,5,4,yes,green
Zara,191,2,win,56,bounce,1,9,yes,red
Celka,90,2,win,14,zoom,5,6,maybe,yellow
Tove,2,5,draw,51,zoom,4,1,maybe,blue
Esther,228,10,lose,7,zoom,3,3,maybe,red
Valeda,797,3,lose,16,fade,1,5,yes,red
Lauren,905,4,win,13,fade,2,1,no,red
Myca,346,8,draw,38,fade,2,6,yes,yellow
Lemmie,537,2,draw,100,bounce,5,10,no,green
Kristel,242,1,win,15,zoom,5,4,no,red
Cordelia,542,7,win,1,fade,1,5,maybe,green
Porty,356,1,lose,7,bounce,2,9,maybe,red
Sebastiano,993,6,draw,9,bounce,4,5,maybe,red
Veronika,889,1,draw,44,bounce,2,6,yes,green
Thomasa,319,4,win,39,bounce,3,8,maybe,red
Gaby,772,7,draw,74,zoom,3,5,yes,red
Laird,667,9,draw,7,fade,1,9,maybe,yellow
Karoly,203,10,lose,73,zoom,5,6,maybe,red
Auberta,67,8,win,49,bounce,5,3,no,red
Tasha,597,9,win,82,zoom,1,6,maybe,green
Roxane,563,4,draw,22,bounce,3,7,no,blue
Amii,569,1,win,26,zoom,5,2,no,yellow
Faunie,20,10,lose,100,bounce,3,8,yes,green
Laure,231,10,lose,68,fade,5,8,no,yellow
Ky,292,10,draw,88,fade,3,9,maybe,green
Angus,775,8,draw,16,fade,3,6,maybe,blue
Ray,234,7,draw,46,zoom,4,10,no,red
Virgil,501,7,win,24,bounce,1,6,maybe,blue
Rene,425,2,draw,21,bounce,5,8,no,green
Denver,380,8,win,29,fade,5,4,maybe,red
Wandis,97,1,lose,46,bounce,1,4,no,green
Jewell,569,1,lose,15,bounce,3,5,yes,green
Annamarie,666,2,win,57,fade,5,9,no,red
Elton,92,9,draw,43,zoom,2,9,maybe,blue
Agnesse,660,10,win,15,fade,2,8,maybe,yellow
Dennison,224,8,win,83,fade,5,2,yes,green
Padraig,723,3,win,2,bounce,2,9,yes,yellow
Anetta,67,7,draw,66,bounce,5,4,no,yellow
Gordon,174,1,win,90,bounce,4,2,yes,yellow
Nick,542,8,lose,9,bounce,3,1,maybe,green
Hugo,93,6,lose,98,bounce,1,2,yes,yellow
Cora,494,8,win,1,fade,2,7,maybe,red
Angel,525,4,draw,91,zoom,2,2,maybe,green
Spence,946,9,lose,7,bounce,3,7,maybe,red
Merrel,922,9,draw,37,fade,2,5,maybe,blue
Emmalee,9,2,draw,94,zoom,2,2,no,yellow
Rosalinda,950,8,draw,30,zoom,3,4,maybe,blue
Wrennie,20,3,draw,16,fade,3,7,yes,yellow
Murdock,624,3,lose,45,zoom,5,6,yes,yellow
Liva,645,7,draw,11,zoom,5,2,no,green
Rickie,99,4,win,98,fade,2,5,yes,red
Mick,719,9,lose,19,zoom,4,6,no,blue
Inez,156,6,lose,42,zoom,4,5,maybe,red
Collin,527,10,lose,66,bounce,3,8,maybe,green
Roxanne,960,7,lose,86,zoom,5,8,no,blue
Quentin,716,3,draw,30,zoom,2,9,maybe,red
Reggie,980,10,lose,80,zoom,2,10,no,red
Clevey,657,5,lose,53,bounce,2,5,no,red
Giulio,159,5,win,67,bounce,4,7,no,blue
Albertina,936,9,lose,22,fade,4,9,no,red
Alain,378,3,win,34,fade,5,10,no,green
Ki,608,1,draw,71,zoom,1,3,maybe,yellow
Stacey,403,8,draw,14,fade,5,3,maybe,red
Benni,671,9,lose,24,fade,3,2,maybe,blue
Meryl,317,10,lose,59,bounce,4,6,maybe,yellow
Wilt,865,6,lose,80,bounce,4,8,yes,yellow
Marja,795,3,win,45,bounce,4,1,maybe,green
Cathi,758,6,lose,74,bounce,1,7,yes,red
Brandise,740,4,lose,57,fade,5,5,yes,green
Charmine,592,4,draw,86,fade,2,5,yes,blue
Rhetta,430,6,lose,43,bounce,5,5,yes,green
Chastity,267,6,lose,97,bounce,2,2,maybe,blue
Dinah,833,8,win,51,zoom,3,8,no,yellow
Winnie,793,10,lose,23,zoom,1,3,no,green
Fanya,33,9,lose,35,fade,3,3,maybe,red
Jacquenetta,624,3,win,98,fade,3,3,no,red
Herve,600,6,draw,6,zoom,4,3,maybe,green
Lynn,659,7,draw,63,fade,1,4,yes,blue
Alfy,585,5,lose,68,bounce,4,10,yes,green
Hedvige,839,6,win,56,bounce,5,8,maybe,green
Tabbie,789,4,lose,30,zoom,5,1,yes,green
Emili,307,2,lose,19,zoom,1,10,no,blue
Haze,603,2,draw,68,bounce,2,10,maybe,yellow
Washington,767,2,draw,18,zoom,4,7,yes,yellow
William,386,3,lose,65,bounce,4,6,no,green
Elladine,928,3,lose,8,zoom,3,6,yes,blue
Delcine,846,1,draw,65,fade,5,7,yes,red
Ulrica,973,7,lose,67,zoom,4,6,no,green
Field,110,10,win,56,zoom,4,5,no,yellow
Lucille,692,5,win,46,fade,3,4,yes,green
Marielle,427,6,win,94,bounce,5,6,maybe,green
Wilbur,879,10,draw,75,zoom,4,4,yes,blue
Emma,995,4,win,65,fade,1,5,no,green
Estrella,669,7,lose,20,zoom,3,3,yes,yellow
Barde,414,8,draw,63,zoom,2,1,no,green
Hildegarde,576,8,win,70,fade,2,9,maybe,red
Anatol,88,3,win,96,fade,5,2,yes,yellow
Erastus,334,1,draw,60,bounce,1,2,maybe,red
Lorelle,306,5,win,29,bounce,5,6,yes,red
Niven,60,10,draw,68,fade,2,1,yes,red
Milli,406,3,draw,95,zoom,4,8,yes,green
Elise,487,1,win,50,zoom,5,6,maybe,blue
Gearalt,615,6,win,8,fade,5,5,yes,blue
Aldon,591,10,draw,88,bounce,5,5,no,blue
Jilly,823,5,win,64,bounce,1,10,no,yellow
Elias,599,7,draw,31,fade,5,5,yes,green
Lory,320,6,draw,61,fade,4,10,yes,blue
Amandi,214,10,draw,89,zoom,3,5,maybe,red
Georgine,929,1,lose,25,bounce,3,1,yes,green
Carla,333,10,win,73,bounce,5,2,yes,blue
Sheelagh,844,6,win,34,zoom,2,3,yes,yellow
Raine,661,7,lose,89,bounce,5,1,maybe,yellow
Ninette,385,3,lose,31,zoom,3,9,yes,green
Baxy,484,4,draw,2,fade,2,10,no,green
Clarisse,406,5,draw,1,fade,1,7,maybe,yellow
Richmond,774,10,draw,59,bounce,1,3,maybe,blue
Ira,164,4,win,41,fade,5,7,yes,green
Sianna,869,2,draw,79,zoom,1,9,no,red
Shannen,615,8,lose,25,zoom,1,7,yes,green
Skippie,671,2,draw,64,zoom,1,9,maybe,red
Ermanno,732,1,win,88,zoom,5,4,no,blue
Rodd,775,4,draw,5,fade,2,8,maybe,blue
Giuseppe,29,5,draw,97,fade,1,3,yes,red
Jennilee,955,10,draw,45,bounce,5,5,yes,red
Blondell,59,5,lose,11,zoom,1,10,maybe,blue
Rodrick,420,4,draw,70,fade,1,8,maybe,yellow
Wilfrid,439,4,lose,92,zoom,4,9,maybe,yellow
Mata,342,7,draw,90,fade,5,5,maybe,green
Shelby,469,10,lose,58,zoom,3,10,no,red
Harriott,315,8,draw,70,zoom,5,5,maybe,red
Rob,374,5,win,5,fade,1,7,yes,red
Mehetabel,308,9,draw,5,zoom,4,9,yes,green
Kingston,493,4,draw,58,fade,1,2,maybe,red
Bernardina,35,1,win,74,zoom,1,5,yes,yellow
Brigida,511,6,win,100,bounce,5,1,maybe,red
Bartie,929,4,win,61,bounce,2,7,no,yellow
Sande,479,5,win,19,fade,5,1,maybe,red
