lucky_number,spin_result,numerology_score,guessed_number,wheel_color,chaos_factor,random_number,guessing_attempts,generated_number,neon_style
38,draw,88,3,#2d190e,0,9,1,66,vibrant
10,win,64,4,#1dfe1f,8,62,1,17,flashy
10,draw,87,4,#c5b243,2,22,4,18,vibrant
97,lose,14,10,#cf9135,10,92,5,98,vibrant
10,win,30,7,#b57458,1,39,5,85,bright
66,win,94,7,#86a024,10,44,3,71,flashy
52,win,30,1,#a5715d,7,2,3,96,vibrant
30,draw,5,7,#5f18df,9,30,4,13,vibrant
66,draw,19,8,#bce2dd,4,98,2,26,flashy
14,lose,91,8,#aa0c0c,1,55,4,32,flashy
74,win,10,7,#cac216,9,30,1,72,vibrant
67,draw,32,7,#48e121,10,51,5,99,vibrant
60,lose,65,6,#6f04b0,3,38,3,98,flashy
67,lose,53,3,#85f175,1,57,3,51,vibrant
97,win,38,8,#0dddc8,5,78,2,90,bright
24,win,6,4,#6f0ab4,4,99,4,3,flashy
89,lose,58,1,#d0411e,4,5,3,47,bright
88,win,1,9,#82e515,2,94,2,40,vibrant
52,win,15,1,#d1f768,9,40,5,41,flashy
53,win,39,10,#f24bdb,4,78,1,12,bright
98,lose,34,10,#472592,6,46,4,90,flashy
25,win,92,7,#634ae2,4,22,5,67,vibrant
54,lose,95,5,#9bcdd5,9,1,2,50,vibrant
83,draw,96,9,#ab1cee,8,7,1,97,flashy
50,win,69,7,#1a265b,8,91,4,29,bright
7,win,69,7,#ce52b4,0,96,1,69,flashy
63,draw,65,10,#df73f8,6,91,2,53,flashy
96,win,86,5,#bbb6d6,6,30,3,14,bright
90,lose,73,4,#ec3f29,6,9,3,40,vibrant
82,lose,100,6,#7cc6a8,0,12,4,37,bright
50,win,24,7,#b355cf,7,35,5,85,flashy
89,draw,83,2,#5c944b,9,13,4,6,flashy
47,draw,96,7,#22165f,8,87,4,74,flashy
20,lose,35,8,#6c7a7d,0,38,2,44,vibrant
47,lose,30,5,#b1defd,2,29,2,24,bright
11,win,87,4,#fd094a,7,19,3,39,flashy
1,win,70,5,#894eeb,2,14,4,15,bright
5,lose,47,10,#af343d,10,96,2,37,bright
90,lose,80,1,#93e35e,9,39,5,66,flashy
61,win,38,3,#883942,7,55,2,16,bright
11,draw,75,5,#4b6325,5,8,4,10,vibrant
22,draw,13,6,#81f92d,9,78,3,52,bright
97,draw,97,8,#423e9e,4,77,2,10,vibrant
82,draw,99,3,#92fbf0,7,99,1,80,vibrant
4,win,95,7,#02c76e,4,10,5,26,flashy
10,draw,31,7,#eb8994,8,32,4,34,bright
65,win,63,3,#7b4ba0,9,71,4,10,vibrant
23,win,63,4,#5f1f97,2,3,4,39,vibrant
22,draw,36,8,#515a64,6,51,2,6,vibrant
7,win,1,9,#a01a60,10,82,1,95,vibrant
30,draw,51,6,#62073f,4,22,1,2,bright
41,win,46,2,#8e8fc2,8,21,4,83,flashy
11,draw,53,9,#eb51ae,3,84,4,90,bright
26,win,76,9,#ccd486,9,12,2,12,bright
3,lose,48,8,#167d45,4,10,3,54,flashy
97,win,78,10,#60a47e,4,21,3,81,vibrant
41,draw,89,7,#fb50c7,1,35,3,14,vibrant
32,draw,52,7,#43bfde,4,65,3,45,bright
98,lose,37,8,#6c0f62,3,98,5,11,vibrant
24,lose,12,10,#c016b7,4,58,2,74,vibrant
75,lose,7,7,#183b32,10,4,5,14,flashy
57,win,98,8,#1cc1c9,6,32,1,63,flashy
6,lose,63,9,#1dd3cd,7,1,5,16,vibrant
63,draw,91,1,#c9a534,5,74,1,26,vibrant
21,lose,99,10,#33280b,1,56,3,51,flashy
16,draw,98,6,#73a521,5,100,3,100,flashy
27,draw,22,9,#1e8bcf,5,63,5,66,bright
98,win,28,10,#3ac358,5,79,1,17,flashy
60,win,58,2,#bfc784,10,49,1,27,bright
87,lose,68,4,#f2d075,8,35,5,21,bright
41,draw,24,2,#1dfd16,5,12,3,17,flashy
12,win,75,5,#4dac9c,3,37,2,87,bright
67,win,90,3,#94326b,5,36,1,29,flashy
87,draw,67,8,#491d6b,1,100,4,99,flashy
49,win,11,5,#d34b90,6,2,1,83,vibrant
35,draw,55,1,#eaaa76,10,22,3,87,bright
62,win,72,3,#cd6adc,6,83,4,94,vibrant
90,lose,60,4,#d78f9a,10,27,1,13,vibrant
97,lose,29,7,#94cdad,2,15,1,30,flashy
1,lose,0,4,#a8bd54,0,83,3,42,bright
12,win,16,6,#c1ca73,5,55,2,37,flashy
15,win,19,3,#f34792,9,52,2,13,vibrant
24,draw,44,6,#eb00e4,10,64,5,81,vibrant
96,draw,83,3,#2ab44c,8,23,3,16,vibrant
49,lose,68,2,#2015b6,5,56,4,19,flashy
68,lose,51,8,#fefa35,1,83,4,33,vibrant
69,lose,23,9,#f0f2b1,8,15,4,88,vibrant
9,win,39,6,#316c6a,2,76,1,99,vibrant
8,lose,10,5,#5c02af,5,59,5,5,flashy
34,lose,1,5,#22c1b3,8,27,3,60,bright
19,lose,67,6,#cb74fc,9,69,2,34,flashy
74,lose,69,9,#ca3e92,9,37,3,13,bright
36,lose,97,9,#8f3441,9,5,5,23,bright
97,lose,33,9,#bcb0b3,10,67,5,67,bright
21,draw,84,1,#4ba367,10,34,3,93,flashy
5,draw,71,7,#182d3a,1,63,5,22,flashy
22,draw,15,9,#e13607,0,57,2,33,vibrant
99,lose,62,4,#7162dd,8,98,5,60,flashy
99,win,26,1,#28ac78,6,28,2,96,flashy
53,draw,69,2,#a9fe5e,0,64,5,37,flashy
73,lose,65,4,#07006d,6,33,1,10,bright
25,win,30,10,#ec4605,2,34,5,29,bright
19,draw,36,6,#00ffe8,0,57,2,10,bright
71,draw,11,2,#527552,9,15,2,13,bright
56,draw,85,7,#6bdf9a,7,64,3,8,vibrant
65,draw,79,2,#7fc6c8,6,69,3,24,vibrant
51,draw,54,6,#c23d93,2,47,5,84,bright
41,draw,46,8,#846ce0,5,77,1,35,flashy
6,lose,76,7,#69b912,7,92,5,5,vibrant
47,lose,6,3,#6c4869,1,54,3,26,bright
75,win,87,3,#00c39b,10,99,1,2,flashy
9,draw,63,8,#c1aefe,1,75,2,38,flashy
2,draw,21,5,#f22767,9,35,5,92,flashy
18,lose,66,4,#eeda0d,5,77,5,38,bright
11,win,41,1,#8efb9f,0,64,1,3,bright
64,draw,69,4,#7410db,2,56,5,46,flashy
32,draw,21,3,#86a805,0,72,1,3,flashy
60,win,28,3,#860c2a,2,21,4,90,vibrant
33,draw,65,5,#401c01,0,1,2,64,flashy
39,draw,31,5,#368e71,1,40,2,84,bright
88,draw,40,6,#ddcde3,5,76,3,74,bright
90,lose,38,9,#bf8fe1,5,100,2,75,vibrant
46,win,96,8,#0abc2c,5,12,1,39,vibrant
60,lose,35,10,#750ceb,9,65,1,78,flashy
3,draw,19,4,#717219,6,68,1,81,bright
81,draw,35,8,#e2e675,10,86,4,42,flashy
8,draw,25,5,#e33f14,10,57,5,23,bright
63,draw,52,10,#f358a6,5,74,4,71,vibrant
4,lose,57,2,#6d137a,7,68,4,28,vibrant
27,lose,40,3,#4a3ef6,2,80,4,58,vibrant
79,draw,14,7,#63131b,2,81,1,40,vibrant
89,win,1,9,#b386ad,4,31,1,71,vibrant
65,draw,26,2,#a1911a,9,47,2,82,vibrant
68,win,58,10,#5ec1b3,1,38,3,64,bright
17,draw,66,5,#8fb570,4,73,2,8,flashy
14,lose,69,5,#74cf52,7,61,5,64,bright
21,lose,93,1,#a6907e,0,40,2,75,bright
25,lose,81,5,#ef0d26,8,15,5,7,flashy
68,win,79,1,#100d47,5,38,1,24,bright
91,draw,35,9,#1cf805,8,4,3,94,vibrant
82,win,53,5,#6f490f,2,56,2,77,bright
86,draw,52,1,#9b8e34,2,6,4,38,bright
79,win,43,2,#483c58,5,78,1,22,bright
28,draw,9,4,#24952c,2,10,5,90,flashy
71,lose,51,6,#8a5723,2,28,4,78,vibrant
63,draw,98,3,#938d84,3,4,3,15,bright
85,draw,25,2,#3b1ad1,7,92,4,81,flashy
3,draw,36,7,#478444,1,18,3,24,bright
99,win,6,10,#5f2a9d,2,84,1,35,flashy
48,win,87,4,#bd546e,7,79,2,20,bright
76,lose,61,1,#8dae52,6,39,5,100,bright
79,lose,30,6,#731b21,1,60,4,67,flashy
20,win,78,3,#131add,7,42,5,83,flashy
97,draw,67,10,#fc86cf,2,23,5,87,bright
97,draw,20,2,#172354,1,54,2,94,vibrant
35,win,49,8,#767ea1,0,31,1,21,flashy
7,draw,59,6,#d7e726,8,49,1,19,flashy
10,lose,51,10,#f3eea2,10,60,4,52,vibrant
21,lose,68,6,#5d30b0,0,31,2,38,vibrant
25,win,76,9,#b5b01d,8,40,2,43,vibrant
33,draw,37,4,#0db6c5,8,11,2,74,flashy
5,lose,68,9,#fa8dcd,5,26,3,23,flashy
23,win,33,7,#4b727e,6,82,3,5,flashy
17,win,36,8,#50d33c,4,46,4,67,bright
82,lose,60,3,#8c09ff,10,62,3,59,bright
74,draw,44,3,#836d8f,8,87,2,66,vibrant
40,draw,68,6,#357967,2,100,3,63,bright
52,draw,14,1,#bd6b7b,9,68,5,91,flashy
74,win,4,10,#ba2ff5,1,73,1,60,bright
86,draw,59,10,#b8cf55,8,51,3,54,flashy
67,win,5,8,#869a93,9,84,3,4,vibrant
27,lose,67,2,#72ca48,10,88,5,61,vibrant
40,lose,20,8,#6bccfd,9,72,5,58,flashy
13,lose,40,1,#54d621,2,100,5,6,flashy
77,win,91,2,#82c6fd,8,85,2,97,flashy
19,lose,52,9,#cd25fa,9,68,4,12,bright
52,lose,54,8,#501719,4,17,2,44,bright
62,draw,24,3,#1013a1,4,85,1,76,flashy
10,draw,44,7,#147305,10,60,1,79,bright
47,win,45,4,#72287a,4,37,2,71,vibrant
72,lose,57,1,#57dd40,0,77,4,63,vibrant
29,lose,72,8,#af0013,9,32,5,1,flashy
15,lose,77,10,#2ebaf3,2,96,3,91,vibrant
89,lose,41,2,#f6ee09,10,60,5,21,flashy
28,win,71,3,#1a8bf3,2,64,5,59,bright
86,lose,63,6,#3cc26b,8,49,1,87,vibrant
16,win,8,10,#da3df3,2,31,4,57,vibrant
71,draw,51,10,#077454,0,18,2,99,vibrant
20,win,60,1,#725839,1,28,4,2,vibrant
11,win,20,3,#b25688,5,47,5,42,flashy
36,lose,78,10,#0af82b,1,11,4,11,bright
40,win,11,3,#3d828c,6,67,3,14,bright
40,win,78,3,#f5e7db,7,81,5,14,flashy
88,draw,46,2,#cdfae2,5,36,4,41,vibrant
81,lose,22,1,#8c9dad,7,2,4,61,vibrant
83,lose,86,5,#203475,1,73,3,20,bright
47,lose,80,1,#9bf1b6,1,48,1,18,bright
10,lose,76,5,#7b921e,7,85,3,59,flashy
51,win,42,1,#bb13c1,0,82,5,20,flashy
6,draw,14,2,#8c5547,2,4,4,86,bright
41,draw,54,2,#419ad2,10,86,4,73,vibrant
62,lose,24,10,#d3dedd,3,95,2,39,bright
43,draw,8,9,#706292,9,69,3,80,bright
93,draw,86,8,#b4e657,10,22,4,46,vibrant
91,win,55,9,#76c1cc,3,82,3,2,bright
44,draw,7,5,#2beb0a,0,52,3,63,flashy
40,draw,19,5,#3969bb,6,13,3,88,flashy
19,lose,24,2,#2521b8,8,78,2,31,flashy
73,win,20,6,#357bdd,7,33,2,67,flashy
94,draw,35,4,#f065e9,4,48,5,49,bright
44,win,2,8,#5be85a,3,2,4,70,bright
16,lose,31,2,#5d236f,2,93,2,17,flashy
10,draw,67,3,#0f9a45,2,50,2,83,vibrant
11,win,57,7,#833306,10,43,4,40,bright
17,lose,28,6,#efa168,8,49,3,74,bright
1,win,60,7,#0e2d79,5,54,1,53,bright
77,lose,12,4,#93fbb7,7,34,2,9,bright
13,draw,78,9,#98d101,10,26,5,67,bright
91,lose,48,9,#5620f6,0,23,3,46,vibrant
42,lose,17,7,#bab558,7,39,5,31,bright
53,lose,2,9,#0b15bc,8,38,3,4,vibrant
11,win,88,6,#ad4185,10,88,3,87,vibrant
73,win,65,7,#ce8450,7,73,1,43,vibrant
54,draw,34,2,#557981,0,67,1,2,bright
5,win,35,10,#7d4327,1,15,4,28,flashy
92,draw,58,1,#299919,9,28,2,23,flashy
79,lose,11,6,#32885d,10,14,4,92,bright
12,lose,56,1,#1fb36c,6,18,5,13,flashy
36,draw,24,4,#c8c22c,5,96,4,44,vibrant
44,win,31,5,#37ee89,10,63,2,39,bright
88,draw,89,4,#354ff0,10,88,2,41,flashy
12,win,23,7,#98ac43,7,58,5,71,flashy
75,draw,91,1,#847772,8,85,1,1,flashy
90,win,65,2,#3e0805,1,31,3,56,flashy
65,draw,51,5,#a98a21,9,12,4,70,flashy
71,draw,1,3,#39a86b,4,16,2,31,bright
91,lose,34,3,#4096f5,0,70,2,84,bright
56,lose,3,3,#ab2364,8,18,3,100,vibrant
92,win,86,2,#d8619a,3,97,1,97,bright
58,lose,94,4,#fa7984,1,45,4,23,flashy
9,draw,38,6,#5dfccb,0,14,3,98,flashy
8,win,23,9,#5fe01d,7,4,1,60,flashy
73,win,60,9,#1fff2b,9,89,4,19,bright
100,draw,53,4,#1e9e5d,9,14,4,74,flashy
65,lose,27,5,#82cddd,7,73,4,75,vibrant
75,draw,77,2,#da765f,4,62,2,86,flashy
37,win,58,7,#c1668d,5,42,5,73,flashy
60,lose,60,1,#60edfb,1,51,4,75,vibrant
41,win,59,6,#a6bfe5,7,65,2,82,vibrant
73,draw,93,5,#b8bde8,2,42,4,57,flashy
46,draw,54,5,#02afdc,0,42,5,32,vibrant
36,win,19,7,#7cfb04,10,20,3,71,vibrant
77,lose,59,1,#188efa,7,54,2,27,bright
68,draw,73,7,#14e8ae,6,85,2,61,flashy
34,draw,100,5,#eb51da,0,79,1,99,flashy
8,draw,11,2,#25e857,6,4,3,58,flashy
1,draw,80,7,#b73349,5,58,5,73,vibrant
81,draw,98,10,#192492,0,35,3,38,flashy
35,lose,13,4,#6e9edf,0,69,1,59,flashy
59,win,61,1,#344cb9,8,75,3,42,bright
43,lose,17,6,#7670de,9,55,2,59,vibrant
79,win,91,4,#52ea6f,0,16,5,27,vibrant
5,draw,10,2,#9bd22f,10,75,5,75,flashy
79,lose,29,1,#6ced84,9,1,3,58,flashy
96,draw,37,1,#e59130,7,14,4,13,vibrant
38,lose,11,8,#ab17f2,6,98,1,1,flashy
33,win,54,9,#8db3fd,1,48,2,33,vibrant
37,lose,39,9,#00957a,1,90,2,70,vibrant
69,lose,10,6,#076a2a,2,51,1,46,vibrant
59,draw,94,4,#9b0065,3,44,4,82,flashy
93,win,76,6,#ab842e,8,98,2,87,vibrant
52,win,9,6,#79955a,6,97,5,47,vibrant
31,draw,28,3,#3f3c05,9,89,1,67,vibrant
5,lose,45,2,#042889,7,31,2,71,bright
8,lose,8,10,#2d4d9e,3,8,5,19,vibrant
88,lose,72,5,#0e00f8,8,4,3,50,vibrant
19,win,50,4,#21ed26,2,63,1,13,vibrant
25,draw,74,4,#0eed3a,6,87,5,84,vibrant
16,lose,1,1,#d636d0,2,48,2,90,flashy
34,win,32,4,#332581,9,41,4,62,bright
44,draw,82,9,#39cb85,4,32,5,6,flashy
62,draw,79,3,#afa7b1,4,73,4,95,flashy
30,lose,92,2,#ac0640,1,41,3,7,flashy
82,win,97,3,#e84eaf,10,20,2,23,bright
93,draw,20,6,#6e6b59,10,94,2,98,bright
2,lose,31,7,#d7cc88,3,75,2,100,bright
37,win,12,4,#20df47,1,32,4,77,bright
57,draw,52,5,#b822be,4,92,1,53,bright
92,win,38,7,#b59736,8,29,4,55,bright
47,draw,32,2,#1a03eb,3,38,4,41,bright
38,win,64,3,#48bdb3,5,21,3,32,vibrant
48,draw,43,3,#cf9efe,10,56,2,33,vibrant
39,win,76,5,#4b9cd1,1,5,2,57,vibrant
64,lose,0,1,#38f5ed,5,13,2,70,bright
90,lose,93,10,#2e1fa4,6,11,3,50,flashy
65,win,14,6,#4e23f6,8,25,4,8,bright
58,draw,95,6,#ece206,8,22,4,67,flashy
64,lose,56,1,#1bb87e,5,31,5,51,vibrant
20,draw,13,7,#c23248,1,5,3,39,flashy
95,draw,46,8,#0f42d8,6,4,4,3,vibrant
55,lose,65,10,#fda61b,1,12,4,72,bright
30,win,11,5,#cdae99,2,14,2,2,flashy
79,lose,92,9,#cce21b,1,5,4,60,bright
60,win,46,2,#ccc08a,3,46,2,67,vibrant
71,draw,90,6,#20b314,5,99,3,79,vibrant
10,lose,64,8,#95c397,9,62,3,50,vibrant
66,draw,14,6,#1e6972,10,46,3,37,flashy
45,lose,81,5,#6fed7b,3,43,2,59,flashy
57,draw,22,9,#cfb90f,4,13,4,69,flashy
62,lose,12,8,#8dccfc,1,60,1,98,flashy
48,lose,18,4,#a2abf4,3,93,1,55,vibrant
94,draw,48,6,#1a0f1a,2,69,3,29,vibrant
64,draw,88,10,#1f120c,4,30,3,67,vibrant
61,draw,35,3,#220048,3,53,5,31,vibrant
58,draw,99,5,#0e33ea,1,88,3,34,flashy
36,win,100,4,#f6b5e3,0,11,1,47,vibrant
70,lose,91,1,#92d068,8,82,4,17,bright
83,draw,73,5,#5e417c,3,10,2,18,flashy
28,lose,15,10,#7bc68b,1,70,2,63,flashy
57,lose,15,7,#761b27,8,66,5,88,flashy
89,draw,80,9,#6db007,4,100,2,31,flashy
83,win,20,10,#acbfc6,3,3,3,53,bright
64,draw,58,8,#d1994c,3,11,1,80,vibrant
75,lose,82,10,#bfa5b4,9,25,4,25,flashy
98,draw,51,6,#4aa171,0,28,2,44,flashy
50,lose,26,1,#6c6376,10,41,1,99,flashy
5,win,88,7,#b08de9,2,75,3,80,flashy
55,lose,19,2,#6abe96,3,10,4,48,vibrant
69,win,30,4,#a097e0,8,12,4,45,flashy
68,draw,25,7,#0615b5,5,61,3,71,flashy
69,draw,35,2,#0ab9dc,10,53,4,4,flashy
87,win,8,10,#a22ef3,10,39,4,32,vibrant
72,lose,40,10,#b73061,5,65,4,92,bright
91,win,15,7,#4d22c4,4,71,1,67,bright
29,lose,64,8,#a6e90e,2,69,4,5,flashy
39,win,10,1,#e7fc78,3,37,5,25,flashy
46,lose,53,10,#99cc3e,8,8,3,87,vibrant
40,draw,51,2,#17b3cf,10,69,2,31,bright
74,win,99,7,#48cb68,2,94,5,15,vibrant
26,lose,68,1,#09ac09,10,40,2,25,bright
55,lose,19,4,#92ef3b,7,73,1,68,flashy
7,lose,85,2,#8ff3c4,5,40,3,90,vibrant
31,draw,9,6,#15185b,5,84,1,80,flashy
23,draw,60,3,#de515e,1,21,1,82,flashy
66,lose,58,4,#2aefec,0,61,5,70,vibrant
82,lose,56,4,#ad0895,2,33,2,77,bright
70,win,81,9,#2f7c29,9,5,3,94,bright
14,lose,5,8,#687a86,8,75,2,17,flashy
44,win,2,8,#474632,1,52,4,39,vibrant
15,draw,84,8,#098370,8,39,1,51,bright
20,win,32,7,#170af7,8,86,5,20,bright
37,win,92,10,#cc0847,6,58,4,84,bright
19,draw,2,2,#74f163,1,20,5,58,vibrant
92,draw,81,1,#4b90de,5,30,4,58,vibrant
14,lose,43,4,#1c83eb,9,84,4,50,vibrant
85,win,27,8,#f241b1,6,97,2,57,bright
93,draw,38,2,#917f92,7,85,3,1,flashy
13,win,40,6,#173f11,7,51,3,66,bright
13,win,99,4,#8f0358,0,32,3,24,bright
66,draw,88,5,#4bd701,7,2,2,100,flashy
26,draw,55,5,#9055ce,8,91,5,43,bright
34,win,52,10,#f781a3,6,38,3,48,flashy
14,lose,32,10,#649e71,3,30,2,50,bright
84,lose,41,9,#9a9920,4,46,3,65,vibrant
5,win,44,10,#d6830c,3,2,4,39,vibrant
68,draw,95,3,#113dcb,9,74,1,27,bright
98,win,85,7,#ae989f,0,16,1,35,bright
46,lose,86,8,#57492d,9,83,1,8,bright
29,draw,20,7,#a8a6ea,3,23,5,33,flashy
42,win,38,9,#c8bd97,0,22,4,60,flashy
67,draw,9,9,#094e88,1,13,4,17,bright
76,win,2,1,#6c4c9d,2,49,5,26,flashy
12,win,98,1,#d63da9,4,45,5,95,bright
16,win,45,8,#4adbbc,6,99,1,43,flashy
52,lose,11,7,#f70a64,1,17,1,84,flashy
45,lose,29,1,#9d382b,7,29,2,88,flashy
2,win,17,10,#bdebff,6,14,5,81,flashy
60,draw,26,9,#fb2769,0,61,4,64,vibrant
24,win,37,4,#776446,1,32,1,46,bright
15,win,4,1,#0066da,10,28,4,64,vibrant
49,draw,89,10,#371efa,1,95,2,53,bright
21,lose,35,3,#11de10,10,8,4,47,vibrant
33,lose,72,7,#2df0c9,4,79,1,86,bright
89,draw,33,4,#1c8a58,7,83,3,46,vibrant
87,draw,88,2,#a73f78,8,11,2,65,vibrant
47,draw,15,3,#bb8dd4,2,34,5,39,flashy
73,win,14,4,#8f3133,1,9,4,35,bright
74,win,71,10,#084d57,9,60,2,17,vibrant
18,draw,29,6,#277450,1,2,3,40,flashy
72,lose,60,10,#eee205,2,33,1,65,vibrant
62,lose,38,9,#bb8a58,10,95,5,28,vibrant
26,win,47,8,#f21968,10,20,5,12,vibrant
69,win,60,8,#d03dfb,5,81,4,20,bright
72,lose,45,7,#bbe705,4,2,1,98,flashy
31,draw,41,8,#aa6de9,2,31,5,20,flashy
69,draw,83,7,#0b4b00,9,18,3,22,flashy
94,draw,65,3,#97babf,6,79,3,13,bright
80,lose,46,9,#47a5d5,10,25,1,65,flashy
81,win,10,7,#c2e842,7,16,5,92,bright
15,draw,10,9,#89d1ac,0,80,1,19,flashy
98,lose,87,9,#1f7556,5,8,3,21,flashy
22,lose,51,7,#79c13f,2,44,2,92,flashy
37,lose,12,4,#6d9eff,4,87,4,74,flashy
44,draw,19,10,#bf7a34,3,52,1,57,vibrant
89,win,25,1,#ef9f61,3,24,5,70,bright
52,draw,24,8,#d07501,8,100,4,76,vibrant
5,draw,5,10,#026422,2,89,2,82,vibrant
58,win,27,1,#0437e4,8,62,3,66,bright
5,win,0,7,#48a9d3,3,18,5,56,flashy
40,draw,25,2,#c5a7b8,8,33,4,8,flashy
50,draw,90,5,#03ead3,8,50,4,7,flashy
62,win,65,5,#fd3f56,8,33,1,10,bright
71,win,74,7,#4ee3f4,6,9,1,84,flashy
91,draw,57,1,#c3ac8c,9,32,3,6,flashy
84,lose,54,4,#fc0811,8,37,2,74,vibrant
97,draw,85,4,#29c913,10,2,1,50,bright
17,lose,24,5,#f08995,8,67,2,66,vibrant
54,lose,25,2,#bcda7c,8,47,4,51,bright
49,draw,6,10,#2dbc0c,10,44,3,48,vibrant
45,lose,33,10,#80af00,3,100,5,73,flashy
69,lose,4,3,#7c1a23,5,29,2,30,bright
88,lose,62,8,#1dd4cd,3,51,5,66,vibrant
2,draw,4,5,#4f9525,4,63,4,28,vibrant
84,draw,39,1,#abab14,10,27,2,16,flashy
16,win,37,3,#757ee6,9,8,5,85,vibrant
65,lose,44,7,#abc876,6,57,5,16,bright
97,win,21,9,#476e64,10,54,1,88,bright
81,lose,97,1,#c676b2,9,7,2,98,vibrant
24,draw,25,7,#b36b96,4,54,3,13,bright
73,draw,50,2,#0ee6b4,0,45,2,89,vibrant
58,draw,70,1,#58f89e,8,96,1,4,flashy
10,lose,100,7,#ac574a,9,69,2,2,flashy
83,draw,90,9,#c36c9d,8,84,5,25,bright
8,win,50,3,#52fbe5,2,3,1,54,vibrant
48,win,50,7,#1f8716,10,21,2,65,bright
4,win,46,2,#5cc3c5,3,47,1,59,flashy
51,draw,13,2,#c43769,0,85,4,88,flashy
26,lose,12,7,#da214f,7,86,4,8,bright
2,draw,37,5,#508fcc,7,6,5,11,vibrant
