user_id,character_name,level,cybernetic_implants,luck_factor,random_event,chaos_level,predicted_number,quirkiness_rating,decision_made
209,Esta,59,neural interface,4,glitch in the system,7,72,10,join faction
210,Janaye,71,neural interface,9,encounter with rogue AI,3,12,3,betray ally
211,Aksel,90,cybernetic arm,5,unexpected ally,8,55,6,accept quest
212,Blondell,43,neural interface,6,unexpected ally,8,10,4,accept quest
213,Sigrid,53,neural interface,5,encounter with rogue AI,62,14,5,accept quest
214,Kerry,17,cybernetic arm,8,unexpected ally,47,26,3,accept quest
215,Sigfrid,26,neural interface,8,encounter with rogue AI,9,93,5,accept quest
216,Reggis,75,augmented eyes,5,unexpected ally,31,89,2,accept quest
217,Otha,38,augmented eyes,8,encounter with rogue AI,52,18,9,betray ally
218,Tanhya,4,neural interface,1,unexpected ally,61,97,4,accept quest
219,Granny,7,cybernetic arm,4,glitch in the system,48,13,3,betray ally
220,Karlotta,54,augmented eyes,4,unexpected ally,2,94,2,accept quest
221,Alexio,30,cybernetic arm,3,glitch in the system,55,66,3,join faction
222,Jeannie,70,cybernetic arm,7,unexpected ally,37,73,7,betray ally
223,Lou,24,cybernetic arm,1,encounter with rogue AI,74,61,2,join faction
224,Joseph,8,neural interface,8,unexpected ally,22,26,6,betray ally
225,Nancy,11,cybernetic arm,7,glitch in the system,93,31,10,accept quest
226,Karalynn,90,neural interface,4,unexpected ally,53,59,4,betray ally
227,Connie,7,augmented eyes,3,glitch in the system,3,4,7,join faction
228,Nanete,62,augmented eyes,1,unexpected ally,49,27,1,join faction
229,Arlinda,83,cybernetic arm,7,glitch in the system,62,98,6,betray ally
230,Payton,11,neural interface,9,encounter with rogue AI,93,10,5,betray ally
231,Barret,64,augmented eyes,2,unexpected ally,77,98,3,join faction
232,Raven,72,cybernetic arm,4,encounter with rogue AI,35,43,1,join faction
233,Danila,10,augmented eyes,8,unexpected ally,91,50,5,join faction
234,Rennie,66,augmented eyes,9,unexpected ally,78,98,2,join faction
235,Claiborn,79,neural interface,2,unexpected ally,59,22,7,accept quest
236,Suzette,50,neural interface,10,glitch in the system,32,85,6,accept quest
237,Glen,57,neural interface,5,glitch in the system,27,2,6,betray ally
238,Valentine,42,neural interface,4,encounter with rogue AI,77,18,1,accept quest
239,Penelope,14,augmented eyes,7,glitch in the system,26,69,1,join faction
240,Jamie,57,augmented eyes,9,unexpected ally,8,1,1,betray ally
241,Gunilla,59,augmented eyes,3,unexpected ally,24,69,1,accept quest
242,Dan,67,neural interface,4,encounter with rogue AI,17,72,5,join faction
243,Tyler,19,neural interface,10,unexpected ally,94,21,4,accept quest
244,Hartley,26,augmented eyes,1,unexpected ally,35,75,4,betray ally
245,Nalani,96,neural interface,1,glitch in the system,15,9,6,betray ally
246,Coralie,82,neural interface,10,encounter with rogue AI,9,53,2,betray ally
247,Jordanna,30,cybernetic arm,10,encounter with rogue AI,61,55,7,accept quest
248,Udale,57,neural interface,8,encounter with rogue AI,18,29,1,accept quest
249,Sonni,72,augmented eyes,7,encounter with rogue AI,95,85,2,accept quest
250,Renae,92,cybernetic arm,10,encounter with rogue AI,50,66,4,accept quest
251,Cull,22,cybernetic arm,6,glitch in the system,75,88,1,join faction
252,Larine,39,cybernetic arm,6,encounter with rogue AI,48,43,7,betray ally
253,Wanda,24,neural interface,9,unexpected ally,30,35,9,betray ally
254,Marne,76,neural interface,9,unexpected ally,45,11,3,accept quest
255,Natty,12,augmented eyes,1,unexpected ally,8,13,10,betray ally
256,Melitta,34,cybernetic arm,3,glitch in the system,38,31,2,join faction
257,Clo,10,augmented eyes,5,unexpected ally,73,8,10,accept quest
258,Grove,67,neural interface,2,unexpected ally,91,40,1,betray ally
259,Jere,69,augmented eyes,1,encounter with rogue AI,62,9,6,accept quest
260,Stephani,96,cybernetic arm,9,unexpected ally,50,86,4,join faction
261,Kip,51,augmented eyes,4,encounter with rogue AI,27,1,3,join faction
262,Janice,84,augmented eyes,7,encounter with rogue AI,65,32,8,betray ally
263,Letta,15,cybernetic arm,9,glitch in the system,28,16,3,betray ally
264,Gabbie,97,cybernetic arm,3,encounter with rogue AI,1,30,4,accept quest
265,Conrade,16,cybernetic arm,9,unexpected ally,94,91,10,join faction
266,Lindsey,8,cybernetic arm,10,unexpected ally,3,99,4,join faction
267,Henryetta,81,cybernetic arm,6,encounter with rogue AI,79,78,8,join faction
268,Zilvia,50,neural interface,4,unexpected ally,92,58,4,join faction
269,Duffie,51,neural interface,2,glitch in the system,87,70,2,join faction
270,Harper,12,augmented eyes,1,unexpected ally,90,49,10,accept quest
271,Marcella,71,augmented eyes,8,glitch in the system,17,63,10,betray ally
272,Jillene,85,augmented eyes,3,glitch in the system,38,46,9,accept quest
273,Conrade,50,cybernetic arm,10,glitch in the system,62,20,5,join faction
274,Yurik,36,neural interface,3,glitch in the system,64,19,3,accept quest
275,Yehudi,18,neural interface,7,glitch in the system,34,45,4,accept quest
276,Maxy,42,neural interface,3,unexpected ally,52,58,2,join faction
277,Nappie,49,cybernetic arm,6,glitch in the system,26,50,9,accept quest
278,Ainsley,49,cybernetic arm,10,encounter with rogue AI,2,99,9,accept quest
279,Jereme,8,neural interface,7,encounter with rogue AI,12,30,9,join faction
280,Chen,14,augmented eyes,4,encounter with rogue AI,54,41,1,accept quest
281,Carmen,70,cybernetic arm,7,unexpected ally,84,75,5,accept quest
282,Lydie,88,cybernetic arm,2,glitch in the system,8,4,10,betray ally
283,Waneta,60,augmented eyes,2,encounter with rogue AI,82,26,10,betray ally
284,Cassy,44,augmented eyes,6,unexpected ally,56,38,2,accept quest
285,Juliane,22,augmented eyes,10,glitch in the system,42,6,4,accept quest
286,Bar,87,augmented eyes,8,glitch in the system,87,32,2,betray ally
287,Hebert,14,neural interface,9,unexpected ally,63,9,5,join faction
288,Adlai,100,cybernetic arm,8,encounter with rogue AI,59,42,10,betray ally
289,Deloris,6,augmented eyes,4,unexpected ally,28,62,9,accept quest
290,Dell,26,augmented eyes,1,glitch in the system,95,68,6,betray ally
291,Stephanie,59,cybernetic arm,5,unexpected ally,95,10,7,join faction
292,Drusilla,89,neural interface,7,glitch in the system,91,94,3,betray ally
293,Patrizius,84,neural interface,6,encounter with rogue AI,70,53,2,betray ally
294,Rowney,81,augmented eyes,3,unexpected ally,95,95,4,betray ally
295,Myrtia,9,neural interface,9,unexpected ally,66,18,2,accept quest
296,Ange,2,augmented eyes,4,unexpected ally,91,75,6,accept quest
297,Samaria,32,augmented eyes,3,encounter with rogue AI,12,2,1,accept quest
298,Laurens,51,cybernetic arm,9,encounter with rogue AI,43,81,10,betray ally
299,Welby,38,augmented eyes,8,unexpected ally,57,19,4,join faction
300,Alverta,76,augmented eyes,5,unexpected ally,77,76,6,join faction
301,Eveline,80,augmented eyes,4,unexpected ally,46,59,5,accept quest
302,Neel,57,augmented eyes,1,unexpected ally,68,44,1,join faction
303,Juliane,45,neural interface,2,unexpected ally,6,39,9,betray ally
304,Marcy,88,neural interface,5,unexpected ally,21,83,3,betray ally
305,Josh,57,augmented eyes,2,encounter with rogue AI,83,42,8,betray ally
306,Noelyn,98,neural interface,1,unexpected ally,68,97,2,betray ally
307,Ginger,48,neural interface,9,unexpected ally,98,61,7,join faction
308,Josi,43,cybernetic arm,4,unexpected ally,55,100,1,betray ally
309,Arman,84,augmented eyes,10,encounter with rogue AI,81,43,3,accept quest
310,Guntar,95,cybernetic arm,10,glitch in the system,64,69,3,join faction
311,Terrel,20,neural interface,1,glitch in the system,24,2,6,betray ally
312,Chan,11,neural interface,2,glitch in the system,72,50,3,join faction
313,Donelle,35,cybernetic arm,8,encounter with rogue AI,84,1,1,join faction
314,Matti,37,cybernetic arm,10,glitch in the system,8,72,7,join faction
315,Liv,62,cybernetic arm,4,encounter with rogue AI,72,32,1,accept quest
316,Crystie,20,cybernetic arm,5,glitch in the system,91,7,6,betray ally
317,Angelika,61,neural interface,1,unexpected ally,37,27,9,join faction
318,Audrye,9,neural interface,2,glitch in the system,58,43,2,betray ally
319,Tades,36,cybernetic arm,10,encounter with rogue AI,59,44,8,join faction
320,Gui,80,cybernetic arm,2,glitch in the system,42,45,10,accept quest
321,Rina,8,augmented eyes,3,encounter with rogue AI,67,59,8,join faction
322,Delmor,35,cybernetic arm,6,glitch in the system,91,44,1,accept quest
323,Bebe,2,neural interface,5,encounter with rogue AI,84,41,8,join faction
324,Bertrando,50,neural interface,7,encounter with rogue AI,58,16,6,accept quest
325,Cirillo,15,neural interface,3,encounter with rogue AI,17,32,5,betray ally
326,Lorin,3,augmented eyes,7,encounter with rogue AI,12,39,1,betray ally
327,Eula,96,neural interface,7,unexpected ally,100,30,9,join faction
328,Waldon,24,cybernetic arm,8,unexpected ally,68,87,9,accept quest
329,Mahmud,53,augmented eyes,2,unexpected ally,93,5,2,accept quest
330,Ainsley,84,cybernetic arm,4,encounter with rogue AI,84,97,8,join faction
331,Bordy,32,neural interface,1,encounter with rogue AI,69,46,10,betray ally
332,Eleanora,55,neural interface,6,unexpected ally,62,85,1,join faction
333,Mylo,68,augmented eyes,3,glitch in the system,94,98,9,betray ally
334,Gwenny,44,augmented eyes,6,glitch in the system,96,82,2,betray ally
335,Kerry,46,neural interface,2,glitch in the system,21,27,2,accept quest
336,Wynny,9,cybernetic arm,10,glitch in the system,9,81,4,accept quest
337,Jerrie,43,augmented eyes,10,encounter with rogue AI,70,1,4,betray ally
338,Francisco,94,augmented eyes,9,glitch in the system,81,3,9,betray ally
339,Zora,73,augmented eyes,6,encounter with rogue AI,25,72,8,accept quest
340,Lindsey,3,augmented eyes,2,encounter with rogue AI,98,89,1,join faction
341,Petr,54,neural interface,10,glitch in the system,39,52,7,accept quest
342,Dalis,19,cybernetic arm,8,unexpected ally,11,37,10,accept quest
343,Stevana,77,neural interface,9,unexpected ally,18,16,4,join faction
344,Lovell,40,cybernetic arm,1,glitch in the system,8,35,8,accept quest
345,Rosemaria,54,cybernetic arm,10,encounter with rogue AI,31,47,1,join faction
346,Ermin,97,neural interface,10,unexpected ally,12,5,7,betray ally
347,Rodolph,86,augmented eyes,7,encounter with rogue AI,48,21,7,betray ally
348,Bambi,15,cybernetic arm,2,encounter with rogue AI,86,27,2,accept quest
349,Jere,25,augmented eyes,5,unexpected ally,30,50,3,betray ally
350,Penrod,60,cybernetic arm,2,unexpected ally,92,95,9,accept quest
351,Ange,80,augmented eyes,8,encounter with rogue AI,98,92,2,betray ally
352,Willetta,99,neural interface,5,unexpected ally,76,22,1,betray ally
353,Shaina,39,cybernetic arm,9,glitch in the system,80,97,7,betray ally
354,Eula,38,augmented eyes,5,glitch in the system,10,94,2,betray ally
355,Fraser,5,neural interface,1,encounter with rogue AI,72,36,9,accept quest
356,Carlos,55,cybernetic arm,2,glitch in the system,12,83,4,join faction
357,Dorine,7,cybernetic arm,2,glitch in the system,65,28,9,join faction
358,Pauli,57,augmented eyes,6,glitch in the system,19,79,9,betray ally
359,Camey,6,cybernetic arm,6,glitch in the system,93,44,6,join faction
360,Karlens,68,cybernetic arm,5,encounter with rogue AI,84,94,4,betray ally
361,Godfree,92,cybernetic arm,8,unexpected ally,49,88,5,join faction
362,Monroe,89,cybernetic arm,1,unexpected ally,66,61,7,betray ally
363,Helene,96,cybernetic arm,6,encounter with rogue AI,33,48,2,betray ally
364,Bax,78,neural interface,2,glitch in the system,50,77,5,join faction
365,Edgardo,20,neural interface,1,unexpected ally,3,81,4,accept quest
366,Nissy,31,cybernetic arm,4,encounter with rogue AI,58,33,3,betray ally
367,Valerie,18,cybernetic arm,4,glitch in the system,80,13,2,betray ally
368,Lutero,6,cybernetic arm,7,glitch in the system,51,92,5,betray ally
369,Griffy,21,cybernetic arm,3,unexpected ally,94,95,10,accept quest
370,Vale,24,neural interface,7,glitch in the system,24,50,1,join faction
371,Bard,57,cybernetic arm,7,glitch in the system,91,39,4,join faction
372,Gui,39,neural interface,7,unexpected ally,12,69,3,accept quest
373,Gertruda,64,cybernetic arm,5,glitch in the system,31,70,9,join faction
374,Rozelle,6,neural interface,1,glitch in the system,77,48,1,accept quest
375,Bernhard,15,augmented eyes,4,glitch in the system,37,50,10,accept quest
376,Terri,69,cybernetic arm,6,encounter with rogue AI,61,98,5,betray ally
377,Ellette,56,cybernetic arm,5,unexpected ally,44,24,3,betray ally
378,Shaine,67,augmented eyes,1,unexpected ally,61,24,6,betray ally
379,Octavia,47,cybernetic arm,2,unexpected ally,2,89,4,accept quest
380,Essa,78,augmented eyes,4,glitch in the system,91,78,7,betray ally
381,Hollie,17,augmented eyes,1,unexpected ally,58,76,3,join faction
382,Nealon,79,cybernetic arm,10,encounter with rogue AI,54,89,7,betray ally
383,Llewellyn,30,augmented eyes,2,encounter with rogue AI,51,68,7,join faction
